# index, s_values, normalised s_values, cumulative energy 
325,0.0059587,6.30293e-05,      0.9999998401
326,0.00592735,6.26978e-05,      0.9999998433
327,0.00588695,6.22704e-05,      0.9999998463
328,0.00584232,6.17984e-05,      0.9999998493
329,0.00579338,6.12806e-05,      0.9999998523
330,0.00577267,6.10616e-05,      0.9999998552
331,0.00571689,6.04716e-05,      0.9999998581
332,0.00566855,5.99602e-05,       0.999999861
333,0.00553472,5.85446e-05,      0.9999998637
334,0.0054235,5.73682e-05,      0.9999998663
335,0.00538057,5.69141e-05,      0.9999998688
336,0.00534129,5.64986e-05,      0.9999998713
337,0.00530554,5.61205e-05,      0.9999998738
338,0.00518316,5.48259e-05,      0.9999998762
339,0.00512882,5.42511e-05,      0.9999998785
340,0.00508026,5.37375e-05,      0.9999998808
341,0.00504332,5.33468e-05,       0.999999883
342,0.0049875,5.27563e-05,      0.9999998852
343,0.00490439,5.18772e-05,      0.9999998874
344,0.00486746,5.14865e-05,      0.9999998895
345,0.00485636,5.13691e-05,      0.9999998915
346,0.00482573,5.10451e-05,      0.9999998936
347,0.00478538,5.06183e-05,      0.9999998956
348,0.00471579,4.98823e-05,      0.9999998976
349,0.00465644,4.92544e-05,      0.9999998995
350,0.00462413,4.89127e-05,      0.9999999014
351,0.00459988,4.86561e-05,      0.9999999033
352,0.00456464,4.82834e-05,      0.9999999051
353,0.00453482,4.7968e-05,      0.9999999069
354,0.00445417,4.71149e-05,      0.9999999087
355,0.00440459,4.65904e-05,      0.9999999104
356,0.00438054,4.63361e-05,      0.9999999121
357,0.00430286,4.55144e-05,      0.9999999137
358,0.00429004,4.53788e-05,      0.9999999153
359,0.0042103,4.45353e-05,      0.9999999169
360,0.00419763,4.44013e-05,      0.9999999185
361,0.00414909,4.38879e-05,        0.99999992
362,0.00406559,4.30046e-05,      0.9999999214
363,0.00402235,4.25472e-05,      0.9999999229
364,0.00395743,4.18605e-05,      0.9999999243
365,0.00394013,4.16775e-05,      0.9999999256
366,0.00391375,4.13985e-05,       0.999999927
367,0.00388475,4.10917e-05,      0.9999999283
368,0.00384794,4.07024e-05,      0.9999999296
369,0.00382715,4.04824e-05,      0.9999999309
370,0.00374028,3.95636e-05,      0.9999999322
