# index, s_values, normalised s_values, cumulative energy 
289,0.00623299,0.000154372,      0.9999995099
290,0.00612007,0.000151576,      0.9999995205
291,0.00608674,0.00015075,       0.999999531
292,0.0060436,0.000149682,      0.9999995413
293,0.00599343,0.000148439,      0.9999995515
294,0.0058615,0.000145172,      0.9999995612
295,0.00577379,0.000142999,      0.9999995706
296,0.00572794,0.000141864,      0.9999995799
297,0.00561952,0.000139179,      0.9999995889
298,0.00555732,0.000137638,      0.9999995976
299,0.00546903,0.000135452,      0.9999996061
300,0.00539082,0.000133514,      0.9999996143
301,0.00535177,0.000132547,      0.9999996224
302,0.00530402,0.000131365,      0.9999996304
303,0.00527588,0.000130668,      0.9999996382
304,0.00519877,0.000128758,      0.9999996459
305,0.00513905,0.000127279,      0.9999996534
306,0.00502187,0.000124377,      0.9999996605
307,0.0049891,0.000123565,      0.9999996675
308,0.0049216,0.000121893,      0.9999996744
309,0.00490035,0.000121367,      0.9999996812
310,0.00482733,0.000119558,      0.9999996878
311,0.00475599,0.000117792,      0.9999996942
312,0.0046903,0.000116165,      0.9999997004
313,0.00461545,0.000114311,      0.9999997064
314,0.00456721,0.000113116,      0.9999997123
315,0.00454518,0.00011257,      0.9999997182
316,0.00449463,0.000111319,      0.9999997239
317,0.00443889,0.000109938,      0.9999997295
318,0.00441139,0.000109257,       0.999999735
319,0.00439342,0.000108812,      0.9999997404
320,0.00435045,0.000107748,      0.9999997458
321,0.00424158,0.000105051,      0.9999997509
322,0.00420588,0.000104167,      0.9999997559
323,0.00417496,0.000103401,      0.9999997608
324,0.00413234,0.000102346,      0.9999997656
325,0.00410551,0.000101681,      0.9999997704
326,0.00406975,0.000100796,      0.9999997751
327,0.00398864,9.87866e-05,      0.9999997796
328,0.003971,9.83499e-05,      0.9999997841
329,0.00393599,9.74826e-05,      0.9999997885
330,0.00390159,9.66307e-05,      0.9999997928
331,0.00385092,9.53758e-05,       0.999999797
332,0.0038067,9.42806e-05,      0.9999998011
333,0.00378329,9.37006e-05,      0.9999998051
334,0.00372616,9.22859e-05,       0.999999809
335,0.00366471,9.07638e-05,      0.9999998128
336,0.00359964,8.91523e-05,      0.9999998165
337,0.00357246,8.84791e-05,      0.9999998201
338,0.00352815,8.73817e-05,      0.9999998236
339,0.00350522,8.68138e-05,      0.9999998271
340,0.00347377,8.6035e-05,      0.9999998305
341,0.00342678,8.48712e-05,      0.9999998338
342,0.00341447,8.45662e-05,      0.9999998371
343,0.00334053,8.27349e-05,      0.9999998403
344,0.00332505,8.23515e-05,      0.9999998434
345,0.00330541,8.18651e-05,      0.9999998465
346,0.00327311,8.10651e-05,      0.9999998496
347,0.00323332,8.00796e-05,      0.9999998525
348,0.00316592,7.84103e-05,      0.9999998553
349,0.00312178,7.73171e-05,      0.9999998581
350,0.00306991,7.60326e-05,      0.9999998608
351,0.00303567,7.51845e-05,      0.9999998634
352,0.00300725,7.44805e-05,      0.9999998659
